ImageName,CellType,BoxX,BoxY,BoxW,BoxH,Area,Perimeter,Circularity,AspectRatio,MeanBlue,MeanGreen,MeanRed,MeanValue,MinValue,MaxValue,MeanSaturation,MinSat,MaxSat,TextureValue,TextureSat,TextureLaplacian,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7
BloodImage_00001.jpeg,Foreground,341,466,30,14,243,75.4558,0.536328,2.14286,187.306,177.737,195.871,195.917,188,203,23.6151,4,36,2.7557,6.22822,2.98247,0.655546,1.79769,2.47241,3.41,6.67705,5.41169,6.406
BloodImage_00001.jpeg,Foreground,559,446,73,34,1192,204.167,0.35935,2.14706,182.762,168.246,187.018,189.38,179,207,28.7158,10,51,4.73265,8.06049,3.66912,0.416695,1.13494,1.6817,2.42309,5.17464,-3.63971,4.48434
BloodImage_00001.jpeg,Foreground,243,428,33,36,372.5,112.468,0.370065,0.916667,202.883,184.079,202.193,204.248,195,212,25.1476,13,38,3.90794,4.93743,3.24469,0.452167,1.06357,2.00745,2.58874,4.95604,3.33206,-5.16882
BloodImage_00001.jpeg,Foreground,285,418,62,62,1202,301.22,0.166474,1,175.847,174.832,193.856,193.856,178,205,28.0519,15,41,4.88573,4.4033,3.18545,0.468853,2.26795,2.06624,2.60281,6.47483,-3.81149,4.93752
BloodImage_00001.jpeg,Foreground,462,411,67,69,2206.5,396.919,0.175999,0.971014,180.056,175.724,190.041,191.035,174,206,22.3717,7,40,4.44507,7.08632,4.12448,0.424596,2.27492,2.33767,4.31188,7.68067,-5.46184,8.00492
BloodImage_00001.jpeg,Foreground,621,383,19,33,209,102.426,0.250341,0.575758,167.875,173.125,186.8,186.8,179,194,26.6784,8,49,3.53293,8.34868,3.19083,0.434778,1.53503,1.46144,2.04905,3.92876,2.81685,3.98441
BloodImage_00001.jpeg,Foreground,0,374,64,101,3053,482.759,0.164617,0.633663,165.724,150.826,173.783,175.874,158,202,37.4023,3,69,7.13046,10.8569,3.57249,0.455659,1.66609,2.04046,3.51596,7.60984,-4.50874,6.29468
BloodImage_00001.jpeg,Foreground,343,371,97,79,4785,323.706,0.573841,1.22785,192.274,185.568,198.037,198.815,182,222,18.7741,0,45,6.85117,9.09767,3.37747,0.696674,1.85455,4.53752,5.87156,-11.3523,-6.89873,-11.1475
BloodImage_00001.jpeg,Foreground,104,361,162,110,7398.5,937.134,0.105864,1.47273,218.263,135.745,153.443,218.263,183,250,95.9704,30,134,10.2501,16.8064,4.78418,0.45759,1.4845,2.72851,3.85287,-8.20942,5.95405,7.14517
BloodImage_00001.jpeg,Foreground,288,349,49,69,1652,227.279,0.401884,0.710145,180.849,175.291,195.573,195.804,186,210,28.1899,11,54,3.61657,5.20336,3.38464,0.634251,1.77508,2.69452,3.07027,5.98145,4.11388,6.40567
BloodImage_00001.jpeg,Foreground,99,331,48,53,1537.5,229.179,0.367855,0.90566,216.099,132.883,153.477,216.099,182,245,97.474,28,131,11.2014,18.4138,5.1605,0.745345,2.7731,3.2541,4.36217,8.38531,5.78938,8.27116
BloodImage_00001.jpeg,Foreground,187,316,15,25,201.5,65.3553,0.59282,0.6,196.557,177.843,188.278,196.722,186,210,24.5652,8,36,5.44226,7.60735,3.98125,0.64241,1.62029,2.87301,3.43961,6.60204,4.28545,-7.37416
BloodImage_00001.jpeg,Foreground,588,302,13,27,155.5,73.3553,0.363142,0.481481,179.186,155.83,174.484,180.766,171,193,35.0372,22,48,5.5571,6.53743,3.96694,0.561568,1.37105,2.41728,3.46666,-6.47609,-4.19188,-6.69536
BloodImage_00001.jpeg,Foreground,421,298,112,83,6033,453.73,0.368255,1.3494,156.634,158.441,183.086,183.087,158,243,41.0109,12,74,6.78813,9.41819,3.63762,0.701777,2.24602,3.97037,3.94739,7.93172,5.13823,8.38441
BloodImage_00001.jpeg,Foreground,0,265,76,100,4448,385.446,0.376225,0.76,163.712,162.011,179.669,179.772,156,209,29.3176,0,55,8.61369,10.5291,3.03362,0.736838,2.61458,3.52008,5.11096,-10.6746,-6.41883,9.42718
BloodImage_00001.jpeg,Foreground,108,249,27,30,275,97.397,0.364294,0.9,178.446,166.342,180.497,183.351,173,202,23.7437,12,39,5.05727,5.09413,3.87038,0.517042,1.46682,1.77456,2.35459,4.44875,3.13332,-4.86662
BloodImage_00001.jpeg,Foreground,529,243,79,163,4424.5,602.056,0.153391,0.484663,171.488,152.597,171.462,176.656,160,208,35.0143,0,70,7.52922,9.74362,3.51306,0.224189,0.612847,1.26555,1.68432,3.19405,2.05684,-3.57408
